Site_ID,Sector_ID,Cell_ID,Vendor,Antenna_model,Azimuth,Frequency,Polarization ,Tilt,Antenna_Height,Antenna_Power,Antenna_receiver_sensitivity_dbm,Antenna_horizontal_beamwidth,Antenna_vertical_beamwidth,Front_to_back_ratio_dB
MW6047,MW6047-3,9967,Huawei,ATR451607,350,790-2690MHzÊ,3xDual Polarization,2,28,40W,,60,4.3,28db
MW6047,MW6047-1,60474,Huawei,ATR451606,70,790-2690MHzÊ,3xDual Polarization,2,28,40W,,60,4.2,>28db
MW6047,MW6047-2,60475,Huawei,ATR451606,170,790-2690MHzÊ,3xDual Polarization,2,28,40W,,60,4.2,>28db
MW6047,MW6047-3,60476,Huawei,ATR451606,350,790-2690MHzÊ,3xDual Polarization,2,28,40W,,60,4.2,>28db
MW6002,MW6002-1,17031,Andrew,TBXLHA-6565DC-VTM,80,824Ð960&1710Ð2180,3xDual Polarization,2,38,40W,,66.8&61.9,9.2&9.1,>25
MW6002,MW6002-2,17032,Andrew,TBXLHA-6565DC-VTM,160,824Ð960&1710Ð2180,3xDual Polarization,2,38,40W,,66.8&61.9,9.2&9.1,>25
MW6002,MW6002-3,17033,Andrew,TBXLHA-6565DC-VTM,320,824Ð960&1710Ð2180,3xDual Polarization,2,38,40W,,66.8&61.9,9.2&9.1,>25
MW6002,MW6002-1,17035,Andrew,TBXLHA-6565DC-VTM,80,824Ð960&1710Ð2180,3xDual Polarization,2,38,40W,,66.8&61.9,9.2&9.1,>25
MW6002,MW6002-2,17036,Andrew,TBXLHA-6565DC-VTM,160,824Ð960&1710Ð2180,3xDual Polarization,2,38,40W,,66.8&61.9,9.2&9.1,>25
MW6002,MW6002-3,17037,Andrew,TBXLHA-6565DC-VTM,320,824Ð960&1710Ð2180,3xDual Polarization,2,38,40W,,66.8&61.9,9.2&9.1,>25
MW6002,MW6002-1,60024,Andrew,TBXLHA-6565DC-VTM,80,824Ð960&1710Ð2180,3xDual Polarization,2,38,40W,,66.8&61.9,9.2&9.1,>25
MW6002,MW6002-2,60025,Andrew,TBXLHA-6565DC-VTM,160,824Ð960&1710Ð2180,3xDual Polarization,2,38,40W,,66.8&61.9,9.2&9.1,>25
MW6002,MW6002-3,60026,Andrew,TBXLHA-6565DC-VTM,320,824Ð960&1710Ð2180,3xDual Polarization,2,38,40W,,66.8&61.9,9.2&9.1,>25
MW6000,MW6000-1,12141,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,4,48,40W,,66.8&61.9,9.2&9.1,>25
MW6000,MW6000-2,12142,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,4,48,40W,,66.8&61.9,9.2&9.1,>25
MW6000,MW6000-3,12143,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,4,48,40W,,66.8&61.9,9.2&9.1,>25
MW6000,MW6000-1,12145,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,4,48,40W,,66.8&61.9,9.2&9.1,>25
MW6000,MW6000-2,12146,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,4,48,40W,,66.8&61.9,9.2&9.1,>25
MW6000,MW6000-3,12147,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,4,48,40W,,66.8&61.9,9.2&9.1,>25
MW6000,MW6000-1,60004,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,4,48,40W,,66.8&61.9,9.2&9.1,>25
MW6000,MW6000-2,60005,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,4,48,40W,,66.8&61.9,9.2&9.1,>25
MW6000,MW6000-3,60006,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,4,48,40W,,66.8&61.9,9.2&9.1,>25
MW4026,MW4026-1,14381,RFS,APXVBLL26EX_43-C-I20,90,698MHz-2690MHz,3xDual Polarization,2,20,40W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4026,MW4026-2,14382,RFS,APXVBLL26EX_43-C-I20,210,698MHz-2690MHz,3xDual Polarization,2,20,40W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4026,MW4026-3,14383,RFS,APXVBLL26EX_43-C-I20,330,698MHz-2690MHz,3xDual Polarization,2,20,40W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4026,MW4026-1,14385,RFS,APXVBLL26EX_43-C-I20,90,698MHz-2690MHz,3xDual Polarization,2,20,40W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4026,MW4026-2,14386,RFS,APXVBLL26EX_43-C-I20,210,698MHz-2690MHz,3xDual Polarization,2,20,40W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4026,MW4026-3,14387,RFS,APXVBLL26EX_43-C-I20,330,698MHz-2690MHz,3xDual Polarization,2,20,40W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4026,MW4026-1,40264,RFS,APXVBLL26EX_43-C-I20,90,698MHz-2690MHz,3xDual Polarization,2,20,40W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4026,MW4026-2,40265,RFS,APXVBLL26EX_43-C-I20,210,698MHz-2690MHz,3xDual Polarization,2,20,40W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4026,MW4026-3,40266,RFS,APXVBLL26EX_43-C-I20,330,698MHz-2690MHz,3xDual Polarization,2,20,40W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4021,MW4021-1,14341,RFS,APXVBLL26EX_43-C-I20,20,698MHz-2690MHz,3xDual Polarization,2,45,40W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4021,MW4021-2,14342,RFS,APXVBLL26EX_43-C-I20,140,698MHz-2690MHz,3xDual Polarization,2,45,40W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4021,MW4021-3,14343,RFS,APXVBLL26EX_43-C-I20,260,698MHz-2690MHz,3xDual Polarization,2,45,40W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4021,MW4021-1,14345,RFS,APXVBLL26EX_43-C-I20,20,698MHz-2690MHz,3xDual Polarization,2,45,40W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4021,MW4021-2,14346,RFS,APXVBLL26EX_43-C-I20,140,698MHz-2690MHz,3xDual Polarization,2,45,40W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4021,MW4021-3,14347,RFS,APXVBLL26EX_43-C-I20,260,698MHz-2690MHz,3xDual Polarization,2,45,40W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4021,MW4021-1,40214,RFS,APXVBLL26EX_43-C-I20,20,698MHz-2690MHz,3xDual Polarization,2,45,40W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4021,MW4021-2,40215,RFS,APXVBLL26EX_43-C-I20,140,698MHz-2690MHz,3xDual Polarization,2,45,40W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4021,MW4021-3,40216,RFS,APXVBLL26EX_43-C-I20,260,698MHz-2690MHz,3xDual Polarization,2,45,40W,,67&66&63,16.2&7.8&6.6,>23.6db
MW0322,MW0322-1,8261,Kathrein,742266,60,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,40,40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
MW0322,MW0322-2,8262,Kathrein,742266,170,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,40,40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
MW0322,MW0322-3,8263,Kathrein,742266,350,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,40,40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
MW0322,MW0322-1,8265,Kathrein,742266,60,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,40,40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
MW0322,MW0322-2,8266,Kathrein,742266,170,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,40,40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
MW0322,MW0322-3,8267,Kathrein,742266,350,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,40,40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
MW0322,MW0322-1,3224,Andrew,DBXLH-6565C-VTM,60,824Ð960MHz&1710Ð2180,Dual Polarization,2,40,40W,,67.2&61.9,7.4&4.6,>27db
MW0322,MW0322-2,3225,Andrew,DBXLH-6565C-VTM,170,824Ð960MHz&1710Ð2180,Dual Polarization,2,40,40W,,67.2&61.9,7.4&4.6,>27db
MW0322,MW0322-3,3226,Andrew,DBXLH-6565C-VTM,350,824Ð960MHz&1710Ð2180,Dual Polarization,2,40,40W,,67.2&61.9,7.4&4.6,>27db
MW5530,MW5530-1,8921,Agisson,A19451801,50,1710-2170MHz,Dual Polarization,2,28,40W,,62,6.2,>30db
MW5530,MW5530-2,8922,Agisson,A19451801,140,1710-2170MHz,Dual Polarization,2,28,40W,,62,6.2,>30db
MW5530,MW5530-3,8923,Agisson,A19451801,270,1710-2170MHz,Dual Polarization,2,28,40W,,62,6.2,>30db
MW5530,MW5530-1,8925,Agisson,A19451801,50,1710-2170MHz,Dual Polarization,2,28,40W,,62,6.2,>30db
MW5530,MW5530-2,8926,Agisson,A19451801,140,1710-2170MHz,Dual Polarization,2,28,40W,,62,6.2,>30db
MW5530,MW5530-3,8927,Agisson,A19451801,270,1710-2170MHz,Dual Polarization,2,28,40W,,62,6.2,>30db
MW5530,MW5530-1,55304,Andrew,DBXLH-6565C-VTM,50,824Ð960MHz&1710Ð2180,Dual Polarization,2,28,40W,,67.2&61.9,7.4&4.6,>27db
MW5530,MW5530-2,55305,Andrew,DBXLH-6565C-VTM,140,824Ð960MHz&1710Ð2180,Dual Polarization,2,28,40W,,67.2&61.9,7.4&4.6,>27db
MW5530,MW5530-3,55306,Andrew,DBXLH-6565C-VTM,270,824Ð960MHz&1710Ð2180,Dual Polarization,2,28,40W,,67.2&61.9,7.4&4.6,>27db
MW5510,MW5510-1,9261,Agisson,A19451801,130,1710-2170MHz,Dual Polarization,2,30,40W,,62,6.2,>30db
MW5510,MW5510-2,9262,Agisson,A19451801,220,1710-2170MHz,Dual Polarization,2,30,40W,,62,6.2,>30db
MW5510,MW5510-3,9263,Agisson,A19451801,310,1710-2170MHz,Dual Polarization,2,30,40W,,62,6.2,>30db
MW5510,MW5510-1,9265,Agisson,A19451801,130,1710-2170MHz,Dual Polarization,2,30,40W,,62,6.2,>30db
MW5510,MW5510-2,9266,Agisson,A19451801,220,1710-2170MHz,Dual Polarization,2,30,40W,,62,6.2,>30db
MW5510,MW5510-3,9267,Agisson,A19451801,310,1710-2170MHz,Dual Polarization,2,30,40W,,62,6.2,>30db
MW5510,MW5510-1,55104,Kathrein,742266,130,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,30,60W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
MW5510,MW5510-2,55105,Kathrein,742266,220,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,30,60W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
MW5510,MW5510-3,55106,Kathrein,742266,310,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,30,60W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
MW0224,MW0224-1,13061,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW0224,MW0224-2,13062,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW0224,MW0224-3,13063,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW0224,MW0224-1,13065,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW0224,MW0224-2,13066,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW0224,MW0224-3,13067,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW0224,MW0224-1,2244,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW0224,MW0224-2,2245,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW0224,MW0224-3,2246,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW0374,MW0374-1,8311,Agisson,A19451801,80,1710-2170MHz,Dual Polarization,4,30,40W,,62,6.2,>30db
MW0374,MW0374-2,8312,Agisson,A19451801,200,1710-2170MHz,Dual Polarization,2,30,40W,,62,6.2,>30db
MW0374,MW0374-3,8313,Agisson,A19451801,320,1710-2170MHz,Dual Polarization,3,30,40W,,62,6.2,>30db
MW0374,MW0374-1,8315,Agisson,A19451801,80,1710-2170MHz,Dual Polarization,4,30,40W,,62,6.2,>30db
MW0374,MW0374-2,8316,Agisson,A19451801,200,1710-2170MHz,Dual Polarization,2,30,40W,,62,6.2,>30db
MW0374,MW0374-3,8317,Agisson,A19451801,320,1710-2170MHz,Dual Polarization,3,30,40W,,62,6.2,>30db
MW0374,MW0374-1,3744,Andrew,DBXLH-6565C-VTM,80,824Ð960MHz&1710Ð2180,Dual Polarization,4,30,40W,,67.2&61.9,7.4&4.6,>27db
MW0374,MW0374-2,3745,Andrew,DBXLH-6565C-VTM,200,824Ð960MHz&1710Ð2180,Dual Polarization,2,30,40W,,67.2&61.9,7.4&4.6,>27db
MW0374,MW0374-3,3746,Andrew,DBXLH-6565C-VTM,320,824Ð960MHz&1710Ð2180,Dual Polarization,3,30,40W,,67.2&61.9,7.4&4.6,>27db
MW1159,MW1159-1,11591,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW1159,MW1159-2,11592,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW1159,MW1159-3,11593,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW1159,MW1159-1,11595,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW1159,MW1159-2,11596,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW1159,MW1159-3,11597,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW1159,MW1159-1,2254,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW1159,MW1159-2,2255,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW1159,MW1159-3,2256,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW5924,MW5924-1,14031,Agisson,A19451801,40,1710-2170MHz,Dual Polarization,2,28,40W,,62,6.2,>30db
MW5924,MW5924-2,14032,Agisson,A19451801,140,1710-2170MHz,Dual Polarization,4,28,40W,,62,6.2,>30db
MW5924,MW5924-3,14033,Agisson,A19451801,280,1710-2170MHz,Dual Polarization,3,28,40W,,62,6.2,>30db
MW5924,MW5924-1,14035,Agisson,A19451801,40,1710-2170MHz,Dual Polarization,2,28,40W,,62,6.2,>30db
MW5924,MW5924-2,14036,Agisson,A19451801,140,1710-2170MHz,Dual Polarization,4,28,40W,,62,6.2,>30db
MW5924,MW5924-3,14037,Agisson,A19451801,280,1710-2170MHz,Dual Polarization,3,28,40W,,62,6.2,>30db
MW5924,MW5924-1,59244,Andrew,DBXLH-6565C-VTM,40,824Ð960MHz&1710Ð2180,Dual Polarization,2,28,40W,,67.2&61.9,7.4&4.6,>27db
MW5924,MW5924-2,59245,Andrew,DBXLH-6565C-VTM,140,824Ð960MHz&1710Ð2180,Dual Polarization,4,28,40W,,67.2&61.9,7.4&4.6,>27db
MW5924,MW5924-3,59246,Andrew,DBXLH-6565C-VTM,280,824Ð960MHz&1710Ð2180,Dual Polarization,3,28,40W,,67.2&61.9,7.4&4.6,>27db
MW1305,MW1305-1,13051,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW1305,MW1305-2,13052,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW1305,MW1305-3,13053,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW1305,MW1305-1,13055,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW1305,MW1305-2,13056,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW1305,MW1305-3,13057,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW1305,MW1305-1,60834,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW1305,MW1305-2,60835,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW1305,MW1305-3,60836,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,2,25,40W,,66.8&61.9,9.2&9.1,>25
MW0378,MW0378-1,8531,Agisson,A19451801,100,1710-2170MHz,Dual Polarization,4,22,40W,,62,6.2,>30db
MW0378,MW0378-2,8532,Agisson,A19451801,230,1710-2170MHz,Dual Polarization,2,22,40W,,62,6.2,>30db
MW0378,MW0378-3,8533,Agisson,A19451801,340,1710-2170MHz,Dual Polarization,2,22,40W,,62,6.2,>30db
MW0378,MW0378-1,8535,Agisson,A19451801,100,1710-2170MHz,Dual Polarization,4,22,40W,,62,6.2,>30db
MW0378,MW0378-2,8536,Agisson,A19451801,230,1710-2170MHz,Dual Polarization,2,22,40W,,62,6.2,>30db
MW0378,MW0378-3,8537,Agisson,A19451801,340,1710-2170MHz,Dual Polarization,2,22,40W,,62,6.2,>30db
MW0378,MW0378-1,3784,Kathrein,742266,100,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,4,22,40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
MW0378,MW0378-2,3785,Kathrein,742266,230,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,22,40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
MW0378,MW0378-3,3786,Kathrein,742266,340,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,22,60W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
MW6218,MW6218-1,11551,Agisson,A19451801,70,1710-2170MHz,Dual Polarization,4,29,40W,,62,6.2,>30db
MW6218,MW6218-2,11552,Agisson,A19451801,210,1710-2170MHz,Dual Polarization,2,29,40W,,62,6.2,>30db
MW6218,MW6218-3,11553,Agisson,A19451801,340,1710-2170MHz,Dual Polarization,2,29,40W,,62,6.2,>30db
MW6218,MW6218-1,11555,Agisson,A19451801,70,1710-2170MHz,Dual Polarization,4,29,40W,,62,6.2,>30db
MW6218,MW6218-2,11556,Agisson,A19451801,210,1710-2170MHz,Dual Polarization,2,29,40W,,62,6.2,>30db
MW6218,MW6218-3,11557,Agisson,A19451801,340,1710-2170MHz,Dual Polarization,2,29,40W,,62,6.2,>30db
MW6218,MW6218-1,62184,Andrew,DBXLH-6565C-VTM,70,824Ð960MHz&1710Ð2180,Dual Polarization,4,29,40W,,67.2&61.9,7.4&4.6,>27db
MW6218,MW6218-2,62185,Andrew,DBXLH-6565C-VTM,210,824Ð960MHz&1710Ð2180,Dual Polarization,2,29,40W,,67.2&61.9,7.4&4.6,>27db
MW6218,MW6218-3,62186,Andrew,DBXLH-6565C-VTM,340,824Ð960MHz&1710Ð2180,Dual Polarization,2,29,40W,,67.2&61.9,7.4&4.6,>27db
MW0381,MW0381-1,8321,Agisson,A19451801,80,1710-2170MHz,Dual Polarization,2,33,40W,,62,6.2,>30db
MW0381,MW0381-2,8322,Agisson,A19451801,200,1710-2170MHz,Dual Polarization,2,33,40W,,62,6.2,>30db
MW0381,MW0381-3,8323,Agisson,A19451801,340,1710-2170MHz,Dual Polarization,2,33,40W,,62,6.2,>30db
MW0381,MW0381-4,8324,Agisson,A19451801,0,1710-2170MHz,Dual Polarization,#N/A,33,40W,,62,6.2,>30db
MW0381,MW0381-1,8325,Agisson,A19451801,80,1710-2170MHz,Dual Polarization,2,33,40W,,62,6.2,>30db
MW0381,MW0381-2,8326,Agisson,A19451801,200,1710-2170MHz,Dual Polarization,2,33,40W,,62,6.2,>30db
MW0381,MW0381-3,8327,Agisson,A19451801,340,1710-2170MHz,Dual Polarization,2,33,40W,,62,6.2,>30db
MW0381,MW0381-4,8328,Agisson,A19451801,0,1710-2170MHz,Dual Polarization,#N/A,33,40W,,62,6.2,>30db
MW0381,MW0381-1,3814,Kathrein,742266,80,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,33,60W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
MW0381,MW0381-2,3815,Kathrein,742266,200,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,33,60W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
MW0381,MW0381-3,3816,Kathrein,742266,340,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,33,80W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
MW0364,MW0364-1,8511,Agisson,A19451801,80,1710-2170MHz,Dual Polarization,2,28,40W,,62,6.2,>30db
MW0364,MW0364-2,8512,Agisson,A19451801,250,1710-2170MHz,Dual Polarization,2,28,40W,,62,6.2,>30db
MW0364,MW0364-3,8513,Agisson,A19451801,320,1710-2170MHz,Dual Polarization,2,28,40W,,62,6.2,>30db
MW0364,MW0364-1,8515,Agisson,A19451801,80,1710-2170MHz,Dual Polarization,2,28,40W,,62,6.2,>30db
MW0364,MW0364-2,8516,Agisson,A19451801,250,1710-2170MHz,Dual Polarization,2,28,40W,,62,6.2,>30db
MW0364,MW0364-3,8517,Agisson,A19451801,320,1710-2170MHz,Dual Polarization,2,28,40W,,62,6.2,>30db
MW0364,MW0364-1,3644,Kathrein,742266,80,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
