Cell ID Num;Alpha Cell ID;*eNodeB ID;*Local Cell ID;Vendor;eNodeB ID;eNodeB Name;Cell Name;eCGI;4T4R Cells / 2T2R Cells;Band;Frequency Band;Bandwidth;EUARFCNDL;PCI;TAC;Longitude;Latitude;Azimuth;E-DownTilt;M-DownTilt;Height
10071;KA1007N1;1007;1;Huawei;KA1007;KA1007-Wakiso;KA1007-Wakiso_N1;641-01-1007-01;2T2R;L1800;3;5MHz;1575;239;7803;32.478329;0.405845;220;0;3;48
10072;KA1007O1;1007;2;Huawei;KA1007;KA1007-Wakiso;KA1007-Wakiso_O1;641-01-1007-02;2T2R;L1800;3;5MHz;1575;238;7803;32.478329;0.405845;310;0;3;48
10080;KA1008M1;1008;0;Huawei;KA1008;KA1008-Makindye;KA1008-Makindye_M1;641-01-1008-00;2T2R;L1800;3;5MHz;1575;64;6803;32.5854;0.2873;90;0;6;29
10081;KA1008N1;1008;1;Huawei;KA1008;KA1008-Makindye;KA1008-Makindye_N1;641-01-1008-01;2T2R;L1800;3;5MHz;1575;63;6803;32.5854;0.2873;210;0;5;29
10082;KA1008O1;1008;2;Huawei;KA1008;KA1008-Makindye;KA1008-Makindye_O1;641-01-1008-02;2T2R;L1800;3;5MHz;1575;65;6803;32.5854;0.2873;330;0;5;29
10090;KA1009M1;1009;0;Huawei;KA1009;KA1009_Kazo(Bwaise);KA1009_Kazo(Bwaise)_M1;641-01-1009-00;2T2R;L1800;3;5MHz;1575;180;6902;32.556024;0.357476;50;0;12;27
10091;KA1009N1;1009;1;Huawei;KA1009;KA1009_Kazo(Bwaise);KA1009_Kazo(Bwaise)_N1;641-01-1009-01;2T2R;L1800;3;5MHz;1575;181;6902;32.556024;0.357476;190;0;4;27
10092;KA1009O1;1009;2;Huawei;KA1009;KA1009_Kazo(Bwaise);KA1009_Kazo(Bwaise)_O1;641-01-1009-02;2T2R;L1800;3;5MHz;1575;182;6902;32.556024;0.357476;300;0;3;27
10110;KA1011M1;1011;0;Huawei;KA1011;KA1011-Kyebando Erisa Rd;KA1011-Kyebando Erisa Rd_M1;641-01-1011-00;2T2R;L1800;3;5MHz;1575;482;6902;32.57497;0.35924;60;0;4;30
10111;KA1011N1;1011;1;Huawei;KA1011;KA1011-Kyebando Erisa Rd;KA1011-Kyebando Erisa Rd_N1;641-01-1011-01;2T2R;L1800;3;5MHz;1575;480;6902;32.57497;0.35924;210;0;4;30
10112;KA1011O1;1011;2;Huawei;KA1011;KA1011-Kyebando Erisa Rd;KA1011-Kyebando Erisa Rd_O1;641-01-1011-02;2T2R;L1800;3;5MHz;1575;481;6902;32.57497;0.35924;350;0;0;30
10130;KA1013M1;1013;0;Huawei;KA1013;KA1013-Namulonge;KA1013-Namulonge_M1;641-01-1013-00;2T2R;L1800;3;10MHz;1600;9;7801;32.6555;0.56816;30;0;3;30
10131;KA1013N1;1013;1;Huawei;KA1013;KA1013-Namulonge;KA1013-Namulonge_N1;641-01-1013-01;2T2R;L1800;3;10MHz;1600;10;7801;32.6555;0.56816;140;0;3;30
10132;KA1013O1;1013;2;Huawei;KA1013;KA1013-Namulonge;KA1013-Namulonge_O1;641-01-1013-02;2T2R;L1800;3;10MHz;1600;11;7801;32.6555;0.56816;260;0;3;30
10140;KA1014M1;1014;0;Huawei;KA1014;KA1014-Namirembe_B1;KA1014-Namirembe_B1_M1;641-01-1014-00;2T2R;L1800;3;5MHz;1575;493;6901;32.565464;0.32094;50;0;3;22
10141;KA1014N1;1014;1;Huawei;KA1014;KA1014-Namirembe_B1;KA1014-Namirembe_B1_N1;641-01-1014-01;2T2R;L1800;3;5MHz;1575;494;6901;32.565464;0.32094;220;0;2;22
10142;KA1014O1;1014;2;Huawei;KA1014;KA1014-Namirembe_B1;KA1014-Namirembe_B1_O1;641-01-1014-02;2T2R;L1800;3;5MHz;1575;492;6901;32.565464;0.32094;280;0;4;22
10150;KA1015M1;1015;0;Huawei;KA1015;KA1015-Kawempe_Mbogo;KA1015-Kawempe_Mbogo_M1;641-01-1015-00;2T2R;L1800;3;5MHz;1575;479;6902;32.5665;0.3652;80;0;4;34
10151;KA1015N1;1015;1;Huawei;KA1015;KA1015-Kawempe_Mbogo;KA1015-Kawempe_Mbogo_N1;641-01-1015-01;2T2R;L1800;3;5MHz;1575;478;6902;32.5665;0.3652;160;0;2;34
10152;KA1015O1;1015;2;Huawei;KA1015;KA1015-Kawempe_Mbogo;KA1015-Kawempe_Mbogo_O1;641-01-1015-02;2T2R;L1800;3;5MHz;1575;477;6902;32.5665;0.3652;300;0;4;34
10161;KA1016M1;1016;1;ZTE;KA1016;KA1016-Semuto;KA1016-Semuto_M1;641-01-1016-01;2T2R;L1800;3;10MHz;1600;6;2901;32.335361;0.626004;10;0;4;50
10162;KA1016N1;1016;2;ZTE;KA1016;KA1016-Semuto;KA1016-Semuto_N1;641-01-1016-02;2T2R;L1800;3;10MHz;1600;7;2901;32.335361;0.626004;160;0;4;50
10163;KA1016O1;1016;3;ZTE;KA1016;KA1016-Semuto;KA1016-Semuto_O1;641-01-1016-03;2T2R;L1800;3;10MHz;1600;8;2901;32.335361;0.626004;260;0;2;50
10180;KA1018M1;1018;0;Huawei;KA1018;KA1018-1st Street;KA1018-1st Street_M1;641-01-1018-00;2T2R;L1800;3;5MHz;1575;256;2805;32.60138;0.321486;320;0;0;18
10181;KA1018N1;1018;1;Huawei;KA1018;KA1018-1st Street;KA1018-1st Street_N1;641-01-1018-01;2T2R;L1800;3;5MHz;1575;255;2805;32.60138;0.321486;100;0;4;18
10182;KA1018O1;1018;2;Huawei;KA1018;KA1018-1st Street;KA1018-1st Street_O1;641-01-1018-02;2T2R;L1800;3;5MHz;1575;257;2805;32.60138;0.321486;220;0;2;18
10190;KA1019M1;1019;0;Huawei;KA1019;KA1019-Najjanankumbi;KA1019-Najjanankumbi_M1;641-01-1019-00;2T2R;L1800;3;5MHz;1575;211;6803;32.57017;0.28989;70;0;2;20
10191;KA1019N1;1019;1;Huawei;KA1019;KA1019-Najjanankumbi;KA1019-Najjanankumbi_N1;641-01-1019-01;2T2R;L1800;3;5MHz;1575;210;6803;32.57017;0.28989;200;0;2;20
10192;KA1019O1;1019;2;Huawei;KA1019;KA1019-Najjanankumbi;KA1019-Najjanankumbi_O1;641-01-1019-02;2T2R;L1800;3;5MHz;1575;212;6803;32.57017;0.28989;340;0;2;20
10200;KA1020M1;1020;0;Huawei;KA1020;KA1020-ATC_Namanve_Warid;KA1020-ATC_Namanve_Warid_M1;641-01-1020-00;2T2R;L1800;3;5MHz;1575;65;7902;32.70477;0.35217;10;0;4;28
10201;KA1020N1;1020;1;Huawei;KA1020;KA1020-ATC_Namanve_Warid;KA1020-ATC_Namanve_Warid_N1;641-01-1020-01;2T2R;L1800;3;5MHz;1575;63;7902;32.70477;0.35217;160;0;4;28
10202;KA1020O1;1020;2;Huawei;KA1020;KA1020-ATC_Namanve_Warid;KA1020-ATC_Namanve_Warid_O1;641-01-1020-02;2T2R;L1800;3;5MHz;1575;64;7902;32.70477;0.35217;300;0;6;28
10210;KA1021M1;1021;0;Huawei;KA1021;KA1021-Mulago Nsooba;KA1021-Mulago Nsooba_M1;641-01-1021-00;2T2R;L1800;3;5MHz;1575;10;6902;32.57703;0.34781;160;0;6;36
10211;KA1021N1;1021;1;Huawei;KA1021;KA1021-Mulago Nsooba;KA1021-Mulago Nsooba_N1;641-01-1021-01;2T2R;L1800;3;5MHz;1575;11;6902;32.57703;0.34781;240;0;6;36
10212;KA1021O1;1021;2;Huawei;KA1021;KA1021-Mulago Nsooba;KA1021-Mulago Nsooba_O1;641-01-1021-02;2T2R;L1800;3;5MHz;1575;9;6902;32.57703;0.34781;30;0;6;36
10220;KA1022M1;1022;0;Huawei;KA1022;KA1022-Nsambya kayemba Road;KA1022-Nsambya kayemba Road_M1;641-01-1022-00;2T2R;L1800;3;5MHz;1575;133;6803;32.58361;0.29242;50;0;4;30
10221;KA1022N1;1022;1;Huawei;KA1022;KA1022-Nsambya kayemba Road;KA1022-Nsambya kayemba Road_N1;641-01-1022-01;2T2R;L1800;3;5MHz;1575;132;6803;32.58361;0.29242;170;0;2;30
10222;KA1022O1;1022;2;Huawei;KA1022;KA1022-Nsambya kayemba Road;KA1022-Nsambya kayemba Road_O1;641-01-1022-02;2T2R;L1800;3;5MHz;1575;134;6803;32.58361;0.29242;340;0;6;30
10230;KA1023M1;1023;0;Huawei;KA1023;KA1023-Mutundwe Kasenge;KA1023-Mutundwe Kasenge_M1;641-01-1023-00;2T2R;L1800;3;5MHz;1575;191;6802;32.51495;0.28744;130;0;6;34
10231;KA1023N1;1023;1;Huawei;KA1023;KA1023-Mutundwe Kasenge;KA1023-Mutundwe Kasenge_N1;641-01-1023-01;2T2R;L1800;3;5MHz;1575;190;6802;32.51495;0.28744;260;0;10;34
10232;KA1023O1;1023;2;Huawei;KA1023;KA1023-Mutundwe Kasenge;KA1023-Mutundwe Kasenge_O1;641-01-1023-02;2T2R;L1800;3;5MHz;1575;189;6802;32.51495;0.28744;340;0;3;34
10240;KA1024M1;1024;0;Huawei;KA1024;KA1024-Zzana Ndejje;KA1024-Zzana Ndejje_M1;641-01-1024-00;2T2R;L1800;3;5MHz;1575;296;6802;32.5715;0.2559;90;0;2;33
10241;KA1024N1;1024;1;Huawei;KA1024;KA1024-Zzana Ndejje;KA1024-Zzana Ndejje_N1;641-01-1024-01;2T2R;L1800;3;5MHz;1575;294;6802;32.5715;0.2559;200;0;4;33
10242;KA1024O1;1024;2;Huawei;KA1024;KA1024-Zzana Ndejje;KA1024-Zzana Ndejje_O1;641-01-1024-02;2T2R;L1800;3;5MHz;1575;295;6802;32.5715;0.2559;305;0;3;33
10250;KA1025M1;1025;0;Huawei;KA1025;KA1025-Kakiri_B;KA1025-Kakiri_B_M1;641-01-1025-00;2T2R;L1800;3;5MHz;1575;16;7801;32.36539;0.45536111;320;0;2;40
10251;KA1025N1;1025;1;Huawei;KA1025;KA1025-Kakiri_B;KA1025-Kakiri_B_N1;641-01-1025-01;2T2R;L1800;3;5MHz;1575;17;7801;32.36539;0.45536111;70;0;0;40
10252;KA1025O1;1025;2;Huawei;KA1025;KA1025-Kakiri_B;KA1025-Kakiri_B_O1;641-01-1025-02;2T2R;L1800;3;5MHz;1575;15;7801;32.36539;0.45536111;240;0;2;40
10270;KA1027M1;1027;0;Huawei;KA1027;KA1027-Misindye;KA1027-Misindye_M1;641-01-1027-00;2T2R;L1800;3;5MHz;1575;78;7801;32.7043;0.399231;90;0;4;30
10271;KA1027N1;1027;1;Huawei;KA1027;KA1027-Misindye;KA1027-Misindye_N1;641-01-1027-01;2T2R;L1800;3;5MHz;1575;79;7801;32.7043;0.399231;180;0;2;30
10272;KA1027O1;1027;2;Huawei;KA1027;KA1027-Misindye;KA1027-Misindye_O1;641-01-1027-02;2T2R;L1800;3;5MHz;1575;80;7801;32.7043;0.399231;310;0;4;30
10280;KA1028M1;1028;0;Huawei;KA1028;KA1028-Buloba;KA1028-Buloba_M1;641-01-1028-00;2T2R;L1800;3;5MHz;1575;444;7801;32.4424;0.3227;0;0;0;48
10281;KA1028N1;1028;1;Huawei;KA1028;KA1028-Buloba;KA1028-Buloba_N1;641-01-1028-01;2T2R;L1800;3;5MHz;1575;445;7801;32.4424;0.3227;60;0;0;48
10282;KA1028O1;1028;2;Huawei;KA1028;KA1028-Buloba;KA1028-Buloba_O1;641-01-1028-02;2T2R;L1800;3;5MHz;1575;446;7801;32.4424;0.3227;230;0;2;48
10300;KA1030M1;1030;0;Huawei;KA1030;KA1030-Nyanama Kitebi;KA1030-Nyanama Kitebi_M1;641-01-1030-00;2T2R;L1800;3;5MHz;1575;301;6802;32.54092;0.27376;100;0;6;40
10301;KA1030N1;1030;1;Huawei;KA1030;KA1030-Nyanama Kitebi;KA1030-Nyanama Kitebi_N1;641-01-1030-01;2T2R;L1800;3;5MHz;1575;300;6802;32.54092;0.27376;200;0;6;40
10302;KA1030O1;1030;2;Huawei;KA1030;KA1030-Nyanama Kitebi;KA1030-Nyanama Kitebi_O1;641-01-1030-02;2T2R;L1800;3;5MHz;1575;302;6802;32.54092;0.27376;300;0;0;40
10310;KA1031M1;1031;0;Huawei;KA1031;KA1031-Naguru Upper;KA1031-Naguru Upper_M1;641-01-1031-00;2T2R;L1800;3;5MHz;1575;219;6902;32.602412;0.343922;330;0;2;23
10311;KA1031N1;1031;1;Huawei;KA1031;KA1031-Naguru Upper;KA1031-Naguru Upper_N1;641-01-1031-01;2T2R;L1800;3;5MHz;1575;221;6902;32.602412;0.343922;110;0;4;23
10312;KA1031O1;1031;2;Huawei;KA1031;KA1031-Naguru Upper;KA1031-Naguru Upper_O1;641-01-1031-02;2T2R;L1800;3;5MHz;1575;220;6902;32.602412;0.343922;220;0;7;23
10320;KA1032M1;1032;0;Huawei;KA1032;KA1032-Buganda Road;KA1032-Buganda Road_M1;641-01-1032-00;2T2R;L1800;3;5MHz;1575;401;2806;32.57797;0.31727;60;0;0;22
10321;KA1032N1;1032;1;Huawei;KA1032;KA1032-Buganda Road;KA1032-Buganda Road_N1;641-01-1032-01;2T2R;L1800;3;5MHz;1575;400;2806;32.57797;0.31727;200;0;6;22
10322;KA1032O1;1032;2;Huawei;KA1032;KA1032-Buganda Road;KA1032-Buganda Road_O1;641-01-1032-02;2T2R;L1800;3;5MHz;1575;399;2806;32.57797;0.31727;340;0;4;22
10330;KA1033M1;1033;0;Huawei;KA1033;KA1033-Lubigi1;KA1033-Lubigi1_M1;641-01-1033-00;2T2R;L1800;3;5MHz;1575;150;6901;32.54694;0.33967;100;0;2;36
10331;KA1033N1;1033;1;Huawei;KA1033;KA1033-Lubigi1;KA1033-Lubigi1_N1;641-01-1033-01;2T2R;L1800;3;5MHz;1575;151;6901;32.54694;0.33967;220;0;2;36
10332;KA1033O1;1033;2;Huawei;KA1033;KA1033-Lubigi1;KA1033-Lubigi1_O1;641-01-1033-02;2T2R;L1800;3;5MHz;1575;152;6901;32.54694;0.33967;330;0;2;36
10340;KA1034M1;1034;0;Huawei;KA1034;KA1034-Kibuli_Hill;KA1034-Kibuli_Hill_M1;641-01-1034-00;2T2R;L1800;3;5MHz;1575;24;2805;32.598123;0.308281;320;0;4;20
10341;KA1034N1;1034;1;Huawei;KA1034;KA1034-Kibuli_Hill;KA1034-Kibuli_Hill_N1;641-01-1034-01;2T2R;L1800;3;5MHz;1575;26;2805;32.598123;0.308281;100;0;4;20
10342;KA1034O1;1034;2;Huawei;KA1034;KA1034-Kibuli_Hill;KA1034-Kibuli_Hill_O1;641-01-1034-02;2T2R;L1800;3;5MHz;1575;25;2805;32.598123;0.308281;200;0;5;20
10360;KA1036M1;1036;0;Huawei;KA1036;KA1036-Bunamwaya Kikajjo;KA1036-Bunamwaya Kikajjo_M1;641-01-1036-00;2T2R;L1800;3;5MHz;1575;309;6802;32.5164;0.2669;20;0;2;50
10361;KA1036N1;1036;1;Huawei;KA1036;KA1036-Bunamwaya Kikajjo;KA1036-Bunamwaya Kikajjo_N1;641-01-1036-01;2T2R;L1800;3;5MHz;1575;310;6802;32.5164;0.2669;130;0;2;50
10362;KA1036O1;1036;2;Huawei;KA1036;KA1036-Bunamwaya Kikajjo;KA1036-Bunamwaya Kikajjo_O1;641-01-1036-02;2T2R;L1800;3;5MHz;1575;311;6802;32.5164;0.2669;250;0;4;50
10370;KA1037M1;1037;0;Huawei;KA1037;KA1037-Kitende sissa;KA1037-Kitende sissa_M1;641-01-1037-00;2T2R;L1800;3;5MHz;1575;461;7901;32.52204;0.21843;10;0;4;20
10371;KA1037N1;1037;1;Huawei;KA1037;KA1037-Kitende sissa;KA1037-Kitende sissa_N1;641-01-1037-01;2T2R;L1800;3;5MHz;1575;459;7901;32.52204;0.21843;80;0;5;20
10372;KA1037O1;1037;2;Huawei;KA1037;KA1037-Kitende sissa;KA1037-Kitende sissa_O1;641-01-1037-02;2T2R;L1800;3;5MHz;1575;460;7901;32.52204;0.21843;200;0;2;20
10380;KA1038M1;1038;0;Huawei;KA1038;KA1038-Kirombe;KA1038-Kirombe_M1;641-01-1038-00;2T2R;L1800;3;5MHz;1575;471;7903;32.67412;0.31093;0;0;4;40
10381;KA1038N1;1038;1;Huawei;KA1038;KA1038-Kirombe;KA1038-Kirombe_N1;641-01-1038-01;2T2R;L1800;3;5MHz;1575;473;7903;32.67412;0.31093;90;0;6;40
10382;KA1038O1;1038;2;Huawei;KA1038;KA1038-Kirombe;KA1038-Kirombe_O1;641-01-1038-02;2T2R;L1800;3;5MHz;1575;472;7903;32.67412;0.31093;220;0;4;40
10390;KA1039M1;1039;0;Huawei;KA1039;KA1039-Nakawuka Ssisa;KA1039-Nakawuka Ssisa_M1;641-01-1039-00;2T2R;L1800;3;5MHz;1575;333;7901;32.4694;0.2033;100;0;0;48
10391;KA1039N1;1039;1;Huawei;KA1039;KA1039-Nakawuka Ssisa;KA1039-Nakawuka Ssisa_N1;641-01-1039-01;2T2R;L1800;3;5MHz;1575;334;7901;32.4694;0.2033;190;0;0;48
10392;KA1039O1;1039;2;Huawei;KA1039;KA1039-Nakawuka Ssisa;KA1039-Nakawuka Ssisa_O1;641-01-1039-02;2T2R;L1800;3;5MHz;1575;335;7901;32.4694;0.2033;340;0;0;48
10400;KA1040M1;1040;0;Huawei;KA1040;KA1040-Kabojja PS Kololo;KA1040-Kabojja PS Kololo_M1;641-01-1040-00;2T2R;L1800;3;5MHz;1575;299;6902;32.585506;0.332715;90;0;0;35
10401;KA1040N1;1040;1;Huawei;KA1040;KA1040-Kabojja PS Kololo;KA1040-Kabojja PS Kololo_N1;641-01-1040-01;2T2R;L1800;3;5MHz;1575;297;6902;32.585506;0.332715;220;0;9;35
10402;KA1040O1;1040;2;Huawei;KA1040;KA1040-Kabojja PS Kololo;KA1040-Kabojja PS Kololo_O1;641-01-1040-02;2T2R;L1800;3;5MHz;1575;298;6902;32.585506;0.332715;320;0;8;35
10410;KA1041M1;1041;0;Huawei;KA1041;KA1041-Namanve Aggreko;KA1041-Namanve Aggreko_M1;641-01-1041-00;2T2R;L1800;3;5MHz;1575;68;7902;32.6963;0.3705;90;0;2;30
10411;KA1041N1;1041;1;Huawei;KA1041;KA1041-Namanve Aggreko;KA1041-Namanve Aggreko_N1;641-01-1041-01;2T2R;L1800;3;5MHz;1575;66;7902;32.6963;0.3705;210;0;4;30
10412;KA1041O1;1041;2;Huawei;KA1041;KA1041-Namanve Aggreko;KA1041-Namanve Aggreko_O1;641-01-1041-02;2T2R;L1800;3;5MHz;1575;67;7902;32.6963;0.3705;330;0;4;30
10420;KA1042M1;1042;0;Huawei;KA1042;KA1042-Lugala1;KA1042-Lugala1_M1;641-01-1042-00;2T2R;L1800;3;5MHz;1575;193;6901;32.53663;0.3235;140;0;2;27
10421;KA1042N1;1042;1;Huawei;KA1042;KA1042-Lugala1;KA1042-Lugala1_N1;641-01-1042-01;2T2R;L1800;3;5MHz;1575;194;6901;32.53663;0.3235;220;0;5;27
10422;KA1042O1;1042;2;Huawei;KA1042;KA1042-Lugala1;KA1042-Lugala1_O1;641-01-1042-02;2T2R;L1800;3;5MHz;1575;192;6901;32.53663;0.3235;340;0;5;27
10430;KA1043M1;1043;0;Huawei;KA1043;KA1043_Kisosonkole1;KA1043_Kisosonkole1_M1;641-01-1043-00;2T2R;L1800;3;5MHz;1575;135;7902;32.64429;0.35892;10;0;6;36
10431;KA1043N1;1043;1;Huawei;KA1043;KA1043_Kisosonkole1;KA1043_Kisosonkole1_N1;641-01-1043-01;2T2R;L1800;3;5MHz;1575;137;7902;32.64429;0.35892;140;0;4;36
10432;KA1043O1;1043;2;Huawei;KA1043;KA1043_Kisosonkole1;KA1043_Kisosonkole1_O1;641-01-1043-02;2T2R;L1800;3;5MHz;1575;136;7902;32.64429;0.35892;240;0;8;36
10433;KA1043M2;1043;3;Huawei;KA1043;KA1043_Kisosonkole1;KA1043_Kisosonkole1_M2;641-01-1043-03;4T4R;L2600;7;10MHz;2900;135;7902;32.64429;0.35892;10;0;6;36
10434;KA1043N2;1043;4;Huawei;KA1043;KA1043_Kisosonkole1;KA1043_Kisosonkole1_N2;641-01-1043-04;4T4R;L2600;7;10MHz;2900;137;7902;32.64429;0.35892;140;0;4;36
10435;KA1043O2;1043;5;Huawei;KA1043;KA1043_Kisosonkole1;KA1043_Kisosonkole1_O2;641-01-1043-05;4T4R;L2600;7;10MHz;2900;136;7902;32.64429;0.35892;240;0;8;36
10440;KA1044M1;1044;0;Huawei;KA1044;KA1044-Mbogo1;KA1044-Mbogo1_M1;641-01-1044-00;2T2R;L1800;3;5MHz;1575;103;6902;32.5485;0.3708;100;0;6;25
10441;KA1044N1;1044;1;Huawei;KA1044;KA1044-Mbogo1;KA1044-Mbogo1_N1;641-01-1044-01;2T2R;L1800;3;5MHz;1575;102;6902;32.5485;0.3708;230;0;8;20
10442;KA1044O1;1044;2;Huawei;KA1044;KA1044-Mbogo1;KA1044-Mbogo1_O1;641-01-1044-02;2T2R;L1800;3;5MHz;1575;104;6902;32.5485;0.3708;340;0;10;25
10450;KA1045M1;1045;0;Huawei;KA1045;KA1045-New_Taxi_Park;KA1045-New_Taxi_Park_M1;641-01-1045-00;2T2R;L1800;3;5MHz;1575;422;2806;32.57235;0.31456;0;0;6;15
10451;KA1045N1;1045;1;Huawei;KA1045;KA1045-New_Taxi_Park;KA1045-New_Taxi_Park_N1;641-01-1045-01;2T2R;L1800;3;5MHz;1575;420;2806;32.57235;0.31456;90;0;8;15
10452;KA1045O1;1045;2;Huawei;KA1045;KA1045-New_Taxi_Park;KA1045-New_Taxi_Park_O1;641-01-1045-02;2T2R;L1800;3;5MHz;1575;421;2806;32.57235;0.31456;200;0;8;15
10453;KA1045M2;1045;3;Huawei;KA1045;KA1045-New_Taxi_Park;KA1045-New_Taxi_Park_M2;641-01-1045-03;4T4R;L2600;7;10MHz;2900;422;2806;32.57235;0.31456;0;0;6;15
10454;KA1045N2;1045;4;Huawei;KA1045;KA1045-New_Taxi_Park;KA1045-New_Taxi_Park_N2;641-01-1045-04;4T4R;L2600;7;10MHz;2900;420;2806;32.57235;0.31456;90;0;8;15
10455;KA1045O2;1045;5;Huawei;KA1045;KA1045-New_Taxi_Park;KA1045-New_Taxi_Park_O2;641-01-1045-05;2T2R;L2600;7;10MHz;2900;421;2806;32.57235;0.31456;200;0;8;15
10460;KA1046M1;1046;0;Huawei;KA1046;KA1046-Gombe Matugga;KA1046-Gombe Matugga_M1;641-01-1046-00;2T2R;L1800;3;5MHz;1575;312;7801;32.52803;0.46553;70;0;2;38
10461;KA1046N1;1046;1;Huawei;KA1046;KA1046-Gombe Matugga;KA1046-Gombe Matugga_N1;641-01-1046-01;2T2R;L1800;3;5MHz;1575;313;7801;32.52803;0.46553;180;0;4;38
10462;KA1046O1;1046;2;Huawei;KA1046;KA1046-Gombe Matugga;KA1046-Gombe Matugga_O1;641-01-1046-02;2T2R;L1800;3;5MHz;1575;314;7801;32.52803;0.46553;310;0;0;38
10470;KA1047M1;1047;0;Huawei;KA1047;KA1047-Garden_City;KA1047-Garden_City_M1;641-01-1047-00;2T2R;L1800;3;5MHz;1575;117;2806;32.591562;0.319469;60;0;8;30
10471;KA1047N1;1047;1;Huawei;KA1047;KA1047-Garden_City;KA1047-Garden_City_N1;641-01-1047-01;2T2R;L1800;3;5MHz;1575;118;2806;32.591562;0.319469;240;0;2;30
10472;KA1047O1;1047;2;Huawei;KA1047;KA1047-Garden_City;KA1047-Garden_City_O1;641-01-1047-02;2T2R;L1800;3;5MHz;1575;119;2806;32.591562;0.319469;310;0;8;30
10473;KA1047M2;1047;3;Huawei;KA1047;KA1047-Garden_City;KA1047-Garden_City_M2;641-01-1047-03;2T2R;L2600;7;10MHz;2900;117;2806;32.591562;0.319469;60;0;8;30
10474;KA1047N2;1047;4;Huawei;KA1047;KA1047-Garden_City;KA1047-Garden_City_N2;641-01-1047-04;2T2R;L2600;7;10MHz;2900;118;2806;32.591562;0.319469;240;0;2;30
